"ECG","PPG","filteredecg","filteredppg"
-83242.16975,1523.13804166668,-9097.34975755417,-379.016901025
-79980.16975,1542.13804166668,-5099.45935755417,-362.953401025
-75250.16975,1562.13804166668,-1482.96165755417,-345.021101025
-72277.16975,1586.13804166668,627.857342445833,-324.707901025
-73108.16975,1607.13804166668,1288.02044244583,-305.392301025
-72221.16975,1627.13804166668,437.653242445833,-292.477801025
-74392.16975,1636.13804166668,-351.621557554167,-275.444701025
-73854.16975,1669.13804166668,437.736442445833,-257.281801025
-67055.16975,1683.13804166668,5150.72394244583,-238.668401025
-64158.16975,1701.13804166668,7381.18134244583,-222.883301025
-63592.16975,1720.13804166668,8346.14264244583,-206.031701025
-65686.16975,1748.13804166668,9107.99454244583,-186.930501025
-58518.16975,1761.13804166668,12701.6491424458,-168.365601025
-56260.16975,1788.13804166668,15758.3332424458,-147.145201025
-58617.16975,1820.13804166668,14802.7966424458,-118.139601025
-58242.16975,1846.13804166668,13773.4565424458,-96.197101025
-60176.16975,1864.13804166668,10841.0112424458,-75.691001025
-69168.16975,1891.13804166668,3182.57774244583,-52.584101025
-73828.16975,1920.13804166668,2399.64124244583,-27.842201025
-65088.16975,1945.13804166668,4289.81154244583,-5.023601025
-66501.16975,1958.13804166668,6632.36314244583,13.706398975
-67843.16975,1987.13804166668,2743.64724244583,33.112798975
-74787.16975,1999.13804166668,-1804.41595755417,50.887398975
-74674.16975,2021.13804166668,-2847.92885755417,61.869398975
-70926.16975,2025.13804166668,-153.351457554167,76.657498975
-69109.16975,2050.13804166668,569.093542445833,95.709998975
-78979.16975,2087.13804166668,-6519.91025755417,121.421498975
-86594.16975,2093.13804166668,-14064.0497575542,140.473998975
-91184.16975,2119.13804166668,-18270.0817575542,157.337298975
-84779.16975,2141.13804166668,-15274.1383575542,174.664898975
-80187.16975,2145.13804166668,-7188.03815755417,189.443998975
-67729.16975,2172.13804166668,478.684342445833,203.480198975
-69727.16975,2183.13804166668,2983.96924244583,218.670098975
-70765.16975,2194.13804166668,267.741442445833,232.251098975
-76622.16975,2209.13804166668,-4045.30395755417,245.904498975
-77129.16975,2234.13804166668,-7596.80185755417,258.281598975
-82891.16975,2224.13804166668,-12485.7118575542,262.052398975
-86530.16975,2236.13804166668,-16330.6324575542,263.703798975
-88323.16975,2240.13804166668,-15806.5507575542,272.689298975
-80299.16975,2246.13804166668,-11183.7538575542,271.837798975
-76700.16975,2232.13804166668,-5826.98645755417,269.686898975
-74394.16975,2249.13804166668,-3117.51585755417,270.998698975
-72116.16975,2239.13804166668,-3512.72815755417,267.679398975
-76084.16975,2233.13804166668,-6947.79405755417,265.290398975
-86829.16975,2247.13804166668,-13984.8960575542,271.471598975
-85388.16975,2246.13804166668,-14416.5191575542,275.332098975
-81540.16975,2243.13804166668,-14601.5273575542,269.683498975
-89856.16975,2235.13804166668,-12921.2932575542,265.419898975
-77781.16975,2237.13804166668,-8725.09225755417,261.428798975
-69794.16975,2227.13804166668,-653.252957554167,258.615198975
-70945.16975,2232.13804166668,2084.68294244583,262.398698975
-68040.16975,2237.13804166668,1455.74534244583,267.037798975
-72374.16975,2240.13804166668,-3511.85725755417,264.516398975
-81625.16975,2223.13804166668,-5766.90325755417,260.129498975
-71613.16975,2227.13804166668,-5290.35255755417,256.129698975
-73788.16975,2229.13804166668,707.538142445833,256.656598975
-64680.16975,2214.13804166668,678.206742445833,243.831198975
-71391.16975,2199.13804166668,-2352.00325755417,230.521698975
-83472.16975,2195.13804166668,-6807.51475755417,230.074798975
-70021.16975,2206.13804166668,-6228.39735755417,229.179298975
-77978.16975,2189.13804166668,-5596.88515755417,228.838198975
-82098.16975,2199.13804166668,-10874.7635575542,228.517898975
-78891.16975,2195.13804166668,-7989.55595755417,224.425798975
-71244.16975,2180.13804166668,-2638.63625755417,217.985998975
-71125.16975,2180.13804166668,2171.00364244583,211.708598975
-62113.16975,2169.13804166668,7714.52354244583,203.797698975
-59535.16975,2157.13804166668,12232.0611424458,198.351198975
-57215.16975,2170.13804166668,13317.8473424458,199.885198975
-59843.16975,2159.13804166668,10258.5542424458,195.367398975
-66415.16975,2155.13804166668,6516.93454244583,186.907198975
-64354.16975,2134.13804166668,5737.15574244583,177.996898975
-65116.16975,2139.13804166668,5774.50164244583,173.166898975
-66774.16975,2130.13804166668,4991.44174244583,167.492498975
-68462.16975,2113.13804166668,1480.93894244583,153.548398975
-76127.16975,2107.13804166668,-2786.89625755417,146.816498975
-78203.16975,2110.13804166668,-7927.13115755417,138.633298975
-85305.16975,2071.13804166668,-14858.5750575542,123.792198975
-93246.16975,2082.13804166668,-16737.8298575542,116.310898975
-84413.16975,2070.13804166668,-15161.1362575542,113.454998975
-82629.16975,2069.13804166668,-10684.8586575542,113.602998975
-81128.16975,2076.13804166668,-7475.58195755417,103.301098975
-76477.16975,2039.13804166668,-6301.14955755417,90.710598975
-81544.16975,2045.13804166668,-10107.3434575542,82.477198975
-87842.16975,2044.13804166668,-10832.0289575542,79.667398975
-80894.16975,2034.13804166668,-10205.2713575542,75.328898975
-80248.16975,2023.13804166668,-9756.14025755417,64.618598975
-87877.16975,2017.13804166668,-14469.0996575542,59.253698975
-84657.16975,2015.13804166668,-10847.4059575542,52.441198975
-57958.16975,1996.13804166668,14937.3259424458,38.558598975
-14962.16975,1981.13804166668,56960.4265424458,22.772998975
30165.83025,1963.13804166668,103087.634042446,10.080598975
70482.83025,1974.13804166668,144061.206342446,3.308698975
93763.83025,1949.13804166668,163200.615042446,-4.511701025
75043.83025,1949.13804166668,149498.375542446,-17.574401025
31195.83025,1931.13804166668,96151.4100424458,-34.777701025
-42897.16975,1908.13804166668,33959.1803424458,-52.388601025
-85443.16975,1902.13804166668,-7847.10625755417,-64.543101025
-85281.16975,1892.13804166668,-18061.6312575542,-73.312501025
-90004.16975,1884.13804166668,-15321.6507575542,-83.425901025
