"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
1,11,62,141,255,395,650,NA,1,NA,1,NA,1,1,1
5,428,466,549,190,415,605,2085,1,2020,1,2040,1,1,1
8,693,727,799,170,360,530,1325,1,1305,1,1250,1,1,1
11,953,998,1059,225,305,530,1300,1,1355,1,1300,1,1,1
14,1255,1278,1345,115,335,450,1510,1,1400,1,1430,1,0,1
17,1523,1565,1644,210,395,605,1340,1,1435,1,1495,1,1,1
18,1664,1708,1771,220,315,535,705,1,715,1,635,1,1,1
21,1945,1984,2037,195,265,460,1405,1,1380,1,1330,1,1,1
22,2081,2114,2160,165,230,395,680,1,650,1,615,1,1,1
23,2193,2243,2306,250,315,565,560,1,645,1,730,1,0,1
26,2490,2530,2605,200,375,575,1485,1,1435,1,1495,1,1,1
27,2627,2672,2742,225,350,575,685,1,710,1,685,1,1,1
29,2799,2802,2890,15,440,455,860,1,650,1,740,1,0,1
32,3076,3096,3180,100,420,520,1385,1,1470,1,1450,1,0,1
33,3200,3227,3279,135,260,395,620,1,655,1,495,1,0,1
37,3613,3649,3698,180,245,425,2065,1,2110,1,2095,1,1,1
38,3753,3794,3851,205,285,490,700,1,725,1,765,1,1,1
39,3886,3931,4001,225,350,575,665,1,685,1,750,1,1,1
40,4023,4059,4097,180,190,370,685,1,640,1,480,1,1,1
41,4143,4201,4249,290,240,530,600,1,710,1,760,1,0,1
46,4717,4755,4833,190,390,580,2870,0,2770,0,2920,0,1,1
51,5250,5298,5362,240,320,560,2665,0,2715,0,2645,0,0,1
54,5534,5570,5622,180,260,440,1420,1,1360,1,1300,1,1,1
59,6076,6122,6168,230,230,460,2710,0,2760,0,2730,0,1,1
62,6357,6396,6448,195,260,455,1405,1,1370,1,1400,1,1,1
65,6662,6675,6758,65,415,480,1525,1,1395,1,1550,1,0,1
66,6770,6812,6886,210,370,580,540,1,685,1,640,1,1,1
68,6930,6944,7023,70,395,465,800,1,660,1,685,1,0,1
70,7178,7218,7284,200,330,530,1240,1,1370,1,1305,1,1,1
71,7319,7359,7451,200,460,660,705,1,705,1,835,1,1,1
72,7456,7500,7565,220,325,545,685,1,705,1,570,1,1,1
74,7624,7627,7703,15,380,395,840,1,635,1,690,1,0,1
75,7724,7768,7822,220,270,490,500,1,705,1,595,1,1,1
77,8001,8044,8118,215,370,585,1385,1,1380,1,1480,1,1,1
78,8133,8173,8222,200,245,445,660,1,645,1,520,1,1,1
81,8414,8452,8531,190,395,585,1405,1,1395,1,1545,1,1,1
84,8719,8731,8787,60,280,340,1525,1,1395,1,1280,1,0,1
87,8971,9009,9090,190,405,595,1260,1,1390,1,1515,1,1,1
88,9112,9153,9194,205,205,410,705,1,720,1,520,1,1,1
91,9380,9420,9469,200,245,445,1340,1,1335,1,1375,1,1,1
92,9513,9560,9615,235,275,510,665,1,700,1,730,1,1,1
95,9790,9829,9863,195,170,365,1385,1,1345,1,1240,1,1,1
98,10094,10108,10181,70,365,435,1520,1,1395,1,1590,1,0,1
99,10203,10248,10313,225,325,550,545,1,700,1,660,1,1,1
102,10503,10519,10595,80,380,460,1500,1,1355,1,1410,1,0,1
103,10623,10661,10738,190,385,575,600,1,710,1,715,1,1,1
105,10788,10800,10875,60,375,435,825,1,695,1,685,1,0,1
106,10892,10943,11005,255,310,565,520,1,715,1,650,1,0,1
107,11036,11075,11149,195,370,565,720,1,660,1,720,1,1,1
108,11177,11220,11262,215,210,425,705,1,725,1,565,1,1,1
109,11314,11355,11412,205,285,490,685,1,675,1,750,1,1,1
110,11433,11491,11559,290,340,630,595,1,680,1,735,1,0,1
112,11614,11628,11704,70,380,450,905,1,685,1,725,1,0,1
114,11866,11909,11968,215,295,510,1260,1,1405,1,1320,1,1,1
118,12303,12323,12396,100,365,465,2185,1,2070,1,2140,1,0,1
