"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
1,49,91,145,210,270,NA,1,NA,1,NA,1
2,211,253,293,210,200,810,1,810,1,740,1
3,362,404,444,210,200,755,1,755,1,755,1
4,518,557,607,195,250,780,1,765,1,815,1
5,683,722,764,195,210,825,1,825,1,785,1
6,853,896,973,215,385,850,0,870,0,1045,0
7,1014,1056,1101,210,225,805,1,800,1,640,1
8,1166,1206,1244,200,190,760,1,750,1,715,1
9,1322,1359,1459,185,500,780,1,765,1,1075,0
10,1481,1518,1562,185,220,795,1,795,1,515,0
11,1642,1685,1768,215,415,805,1,835,1,1030,0
12,1803,1841,1882,190,205,805,1,780,1,570,0
13,1958,1999,2033,205,170,775,1,790,1,755,1
14,2101,2142,2181,205,195,715,1,715,1,740,1
15,2245,2286,2369,205,415,720,1,720,1,940,0
16,2397,2436,2484,195,240,760,1,750,1,575,0
17,2551,2592,2636,205,220,770,1,780,1,760,1
18,2706,2745,2783,195,190,775,1,765,1,735,1
19,2866,2909,2989,215,400,800,1,820,1,1030,0
20,3029,3067,3114,190,235,815,1,790,1,625,1
21,3185,3226,3263,205,185,780,1,795,1,745,1
22,3335,3375,3443,200,340,750,1,745,1,900,0
23,3488,3528,3570,200,210,765,1,765,1,635,1
24,3646,3685,3718,195,165,790,1,785,1,740,1
25,3803,3842,3885,195,215,785,1,785,1,835,1
26,3956,3999,4039,215,200,765,1,785,1,770,1
27,4117,4161,4198,220,185,805,1,810,1,795,1
28,4286,4326,4373,200,235,845,0,825,1,875,1
29,4449,4492,4533,215,205,815,1,830,1,800,1
30,4609,4652,4697,215,225,800,1,800,1,820,1
31,4773,4813,4852,200,195,820,1,805,1,775,1
32,4935,4978,5015,215,185,810,1,825,1,815,1
33,5085,5127,5165,210,190,750,1,745,1,750,1
34,5238,5279,5320,205,205,765,1,760,1,775,1
35,5392,5432,5505,200,365,770,1,765,1,925,0
36,5548,5591,5631,215,200,780,1,795,1,630,1
37,5706,5746,5781,200,175,790,1,775,1,750,1
38,5863,5904,5972,205,340,785,1,790,1,955,0
39,6015,6061,6099,230,190,760,1,785,1,635,1
40,6160,6200,6241,200,205,725,1,695,1,710,1
41,6309,6351,6393,210,210,745,1,755,1,760,1
42,6459,6500,6539,205,195,750,1,745,1,730,1
43,6607,6649,6685,210,180,740,1,745,1,730,1
44,6760,6800,6842,200,210,765,1,755,1,785,1
45,6913,6953,6997,200,220,765,1,765,1,775,1
46,7061,7105,7146,220,205,740,1,760,1,745,1
47,7210,7250,7284,200,170,745,1,725,1,690,1
48,7360,7401,7482,205,405,750,1,755,1,990,0
49,7513,7555,7594,210,195,765,1,770,1,560,0
50,7664,7708,7744,220,180,755,1,765,1,750,1
51,7814,7855,7893,205,190,750,1,735,1,745,1
52,7964,8005,8092,205,435,750,1,750,1,995,0
53,8113,8154,8227,205,365,745,1,745,1,675,1
54,8262,8304,8346,210,210,745,1,750,1,595,0
55,8412,8455,8494,215,195,750,1,755,1,740,1
56,8557,8599,8638,210,195,725,1,720,1,720,1
57,8708,8749,8788,205,195,755,1,750,1,750,1
58,8864,8904,8988,200,420,780,1,775,1,1000,0
59,9015,9056,9096,205,200,755,1,760,1,540,0
60,9165,9207,9249,210,210,750,1,755,1,765,1
61,9315,9356,9394,205,190,750,1,745,1,725,1
62,9464,9505,9584,205,395,745,1,745,1,950,0
63,9612,9652,9732,200,400,740,1,735,1,740,1
64,9764,9807,9851,215,220,760,1,775,1,595,0
65,9915,9957,9994,210,185,755,1,750,1,715,1
66,10062,10103,10145,205,210,735,1,730,1,755,1
67,10204,10242,10286,190,220,710,1,695,1,705,1
68,10349,10387,10426,190,195,725,1,725,1,700,1
69,10496,10536,10577,200,205,735,1,745,1,755,1
70,10635,10671,10715,180,220,695,1,675,1,690,1
71,10771,10812,10850,205,190,680,1,705,1,675,1
72,10912,10951,10991,195,200,705,1,695,1,705,1
73,11060,11100,11139,200,195,740,1,745,1,740,1
74,11209,11250,11291,205,205,745,1,750,1,760,1
75,11353,11392,11438,195,230,720,1,710,1,735,1
76,11502,11544,11584,210,200,745,1,760,1,730,1
77,11653,11696,11732,215,180,755,1,760,1,740,1
78,11803,11843,11877,200,170,750,1,735,1,725,1
79,11949,11989,12026,200,185,730,1,730,1,745,1
80,12094,12134,12171,200,185,725,1,725,1,725,1
81,12239,12280,12318,205,190,725,1,730,1,735,1
82,12390,12430,12473,200,215,755,1,750,1,775,1
83,12539,12580,12618,205,190,745,1,750,1,725,1
